id,rank,hit,title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
40,3,Yes,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,87,0.629,0.5720000000000001,5,-7.733,0,0.0387,0.57,0.0,0.192,0.386,100.015
41,11,Yes,I Get The Bag,Gucci Mane Featuring Migos,89,0.89,0.633,11,-5.475,1,0.168,0.0232,0.000343,0.0993,0.425,139.94799999999998
42,11,Yes,River,Eminem Featuring Ed Sheeran,89,0.754,0.743,8,-5.794,0,0.495,0.165,0.0,0.0746,0.6609999999999999,90.053
43,39,Yes,Ric Flair Drip,Offset & Metro Boomin,94,0.88,0.428,9,-8.28,1,0.20600000000000002,0.149,5.07e-05,0.114,0.33299999999999996,100.007
44,40,Yes,Lemon,N*E*R*D & Rihanna,81,0.805,0.71,1,-6.642,1,0.309,0.0008810000000000001,2.64e-05,0.358,0.147,190.044
45,18,Yes,End Game,Taylor Swift Featuring Ed Sheeran & Future,85,0.45299999999999996,0.6,2,-6.2170000000000005,1,0.15,0.00806,0.0,0.111,0.154,159.088
46,40,Yes,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,89,0.667,0.726,8,-4.172,1,0.054000000000000006,0.032,0.0,0.0745,0.77,103.001
47,31,Yes,Roll In Peace,Kodak Black Featuring XXXTENTACION,88,0.747,0.524,10,-6.807,0,0.245,0.0306,0.0,0.2,0.363,140.053
48,18,Yes,Walk It Talk It,Migos Featuring Drake,86,0.909,0.628,2,-5.456,1,0.201,0.0739,0.0,0.10800000000000001,0.406,145.905
49,49,Yes,El Farsante,Ozuna & Romeo Santos,83,0.737,0.742,6,-2.875,1,0.0441,0.218,0.0,0.316,0.386,119.96600000000001
50,36,Yes,Narcos,Migos,89,0.9359999999999999,0.588,7,-6.9479999999999995,0,0.136,0.0146,0.0,0.139,0.23800000000000002,124.98700000000001
51,51,No,Written In The Sand,Old Dominion,81,0.725,0.43700000000000006,6,-9.602,1,0.0575,0.593,0.0,0.0842,0.759,83.985
52,28,Yes,You Make It Easy,Jason Aldean,79,0.375,0.574,7,-5.305,1,0.0315,0.14300000000000002,0.0,0.11,0.406,132.025
53,53,No,Good Old Days,Macklemore Featuring Kesha,86,0.7120000000000001,0.51,8,-8.162,1,0.0633,0.446,2.46e-05,0.11199999999999999,0.268,122.964
54,54,No,Five More Minutes,Scotty McCreery,76,0.517,0.652,7,-6.153,1,0.0323,0.325,0.0,0.109,0.33299999999999996,156.07
55,55,No,Wait,Maroon 5,83,0.648,0.603,8,-5.098,1,0.0507,0.0803,0.0,0.11199999999999999,0.488,126.116
56,47,Yes,The Champion,Carrie Underwood Featuring Ludacris,76,0.6659999999999999,0.877,6,-3.275,1,0.19399999999999998,0.0822,0.0,0.128,0.524,91.054
57,57,No,Pick It Up,Famous Dex Featuring A$AP Rocky,92,0.9209999999999999,0.467,1,-8.443,1,0.11900000000000001,0.0149,0.00023799999999999998,0.33399999999999996,0.287,135.995
58,49,Yes,Yours,Russell Dickerson,82,0.555,0.722,11,-6.005,1,0.034,0.11900000000000001,0.0,0.0861,0.5589999999999999,134.058
59,59,No,Broken Halos,Chris Stapleton,75,0.607,0.575,8,-7.066,1,0.0252,0.133,2.52e-06,0.0566,0.504,78.34100000000001
60,60,No,New Freezer,Rich The Kid Featuring Kendrick Lamar,85,0.888,0.664,0,-10.13,1,0.341,0.0424,0.0,0.0734,0.53,140.012
61,61,No,Heaven,Kane Brown,81,0.677,0.556,9,-6.544,1,0.0306,0.263,0.0,0.105,0.521,80.009
62,62,No,You Broke Up With Me,Walker Hayes,80,0.846,0.711,0,-7.939,1,0.061,0.496,0.0,0.247,0.883,120.01299999999999
63,58,No,This Is Me,Keala Settle & The Greatest Showman Ensemble,92,0.284,0.7040000000000001,2,-7.276,1,0.18600000000000003,0.00583,0.00011499999999999999,0.0424,0.1,191.702
64,64,No,Betrayed,Lil Xan,92,0.823,0.419,10,-10.357999999999999,0,0.165,0.41600000000000004,0.0,0.105,0.27699999999999997,119.958
65,65,No,One Foot,WALK THE MOON,77,0.581,0.826,0,-4.87,1,0.0357,0.00773,1.56e-06,0.792,0.49200000000000005,100.01799999999999
66,46,Yes,Like I Loved You,Brett Young,79,0.579,0.573,1,-5.9910000000000005,1,0.0292,0.179,0.0,0.083,0.637,76.02
67,43,Yes,Keke,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",84,0.597,0.857,2,-5.7589999999999995,1,0.28,0.0363,0.0,0.40700000000000003,0.493,187.96400000000003
68,47,Yes,Echame La Culpa,Luis Fonsi & Demi Lovato,88,0.726,0.889,0,-3.655,1,0.0429,0.0328,0.0,0.0925,0.649,96.024
69,69,No,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",86,0.563,0.7170000000000001,1,-5.186,1,0.337,0.000874,0.0,0.183,0.42700000000000005,82.064
70,55,No,Nowadays,Lil Skies Featuring Landon Cube,86,0.745,0.6459999999999999,6,-6.987,0,0.17,0.157,0.0,0.33799999999999997,0.46,79.993
71,60,No,Losing Sleep,Chris Young,81,0.584,0.621,1,-5.702999999999999,1,0.0443,0.0715,1.68e-06,0.389,0.634,92.00299999999999
72,52,No,Notice Me,Migos Featuring Post Malone,84,0.7959999999999999,0.33799999999999997,5,-9.754,0,0.315,0.10400000000000001,1.12e-06,0.165,0.474,166.0
73,73,No,Man Of The Woods,Justin Timberlake,81,0.624,0.452,0,-8.206,1,0.0681,0.315,1.0199999999999999e-05,0.311,0.7240000000000001,199.775
74,74,No,All On Me,Devin Dawson,81,0.631,0.6579999999999999,5,-5.313,1,0.0281,0.14400000000000002,0.0,0.22,0.7,80.99600000000001
75,75,No,Legends,Kelsea Ballerini,76,0.575,0.728,4,-5.846,1,0.032,0.0558,0.0,0.0909,0.242,112.029
76,61,No,No Smoke,YoungBoy Never Broke Again,81,0.6579999999999999,0.736,9,-6.097,0,0.308,0.113,0.0,0.0978,0.804,143.966
77,69,No,Red Roses,Lil Skies Featuring Landon Cube,82,0.599,0.818,9,-4.215,0,0.0881,0.7170000000000001,1.4099999999999999e-05,0.228,0.475,140.009
78,78,No,Beautiful Trauma,P!nk,83,0.41200000000000003,0.619,7,-6.39,1,0.0725,0.0868,2.55e-06,0.4,0.23399999999999999,95.977
79,53,No,Tell Me You Love Me,Demi Lovato,81,0.519,0.5920000000000001,3,-5.45,0,0.0519,0.0236,0.0,0.146,0.244,81.99600000000001
80,50,No,Candy Paint,Post Malone,88,0.765,0.688,4,-5.566,1,0.0841,0.633,0.0,0.0734,0.434,90.01299999999999
81,81,No,Dura,Daddy Yankee,86,0.7909999999999999,0.848,1,-3.4560000000000004,1,0.0506,0.183,0.0,0.409,0.828,95.0
82,52,No,La Modelo,Ozuna x Cardi B,87,0.8220000000000001,0.743,1,-2.0380000000000003,1,0.0451,0.213,0.0103,0.0957,0.78,98.005
83,7,Yes,Diplomatic Immunity,Drake,86,0.664,0.848,9,-5.2139999999999995,0,0.44,0.00468,0.0,0.287,0.5489999999999999,75.22
84,84,No,Most People Are Good,Luke Bryan,74,0.5820000000000001,0.728,8,-6.151,1,0.0292,0.174,0.0,0.139,0.537,150.013
85,70,No,Rewrite The Stars,Zac Efron & Zendaya,93,0.684,0.619,10,-7.005,1,0.0386,0.0716,0.0,0.122,0.284,125.046
86,52,No,Codeine Dreaming,Kodak Black Featuring Lil Wayne,91,0.736,0.604,1,-7.357,0,0.222,0.0652,6.43e-05,0.124,0.574,155.007
87,87,No,Whatever It Takes,Imagine Dragons,78,0.675,0.662,1,-4.989,1,0.0318,0.0392,0.0,0.128,0.536,134.936
88,88,No,IDGAF,Dua Lipa,84,0.836,0.552,7,-5.66,1,0.0851,0.0433,0.0,0.0773,0.525,97.036
89,48,Yes,BBO (Bad Bitches Only),Migos Featuring 21 Savage,84,0.804,0.774,4,-5.79,0,0.0638,0.044000000000000004,1.38e-06,0.217,0.493,161.955
90,90,No,Hardaway,Derez De'Shon,68,0.537,0.518,1,-5.987,1,0.188,0.11800000000000001,0.0,0.146,0.42700000000000005,132.52700000000002
91,74,No,Mayores,Becky G Featuring Bad Bunny,92,0.743,0.855,5,-3.9760000000000004,0,0.0436,0.141,0.0045,0.099,0.871,96.98899999999999
92,92,No,At The Club,Jacquees X Dej Loaf,73,0.795,0.6679999999999999,7,-7.287999999999999,0,0.09300000000000001,0.124,0.0,0.0739,0.37200000000000005,92.029
93,93,No,The Long Way,Brett Eldredge,77,0.488,0.637,10,-7.63,1,0.0401,0.265,0.0,0.106,0.23,88.865
94,94,No,Singles You Up,Jordan Davis,78,0.489,0.9,7,-3.563,1,0.0488,0.0441,0.0,0.247,0.611,200.054
95,95,No,Criminal,Natti Natasha x Ozuna,95,0.8140000000000001,0.813,2,-3.023,0,0.0561,0.03,9.329999999999999e-05,0.255,0.8390000000000001,79.997
96,87,No,Corazon,Maluma X Nego do Borel,95,0.871,0.768,4,-5.401,0,0.122,0.28300000000000003,2.25e-05,0.162,0.765,98.98899999999999
97,65,No,Sick Boy,The Chainsmokers,95,0.5479999999999999,0.58,11,-7.524,0,0.121,0.10400000000000001,0.0,0.127,0.462,180.06599999999997
98,98,No,A Girl Like You,Easton Corbin,72,0.74,0.777,5,-4.405,1,0.0329,0.0178,1.27e-06,0.0665,0.8340000000000001,104.98899999999999
99,99,No,Rock,Plies,80,0.758,0.6459999999999999,7,-4.7010000000000005,1,0.11199999999999999,0.128,0.0,0.0778,0.589,155.955
100,71,No,Supplies,Justin Timberlake,81,0.7929999999999999,0.5539999999999999,11,-6.624,0,0.0451,0.00695,0.0,0.127,0.225,119.993
101,4,Yes,Believer,Imagine Dragons,85,0.772,0.78,10,-4.288,0,0.10800000000000001,0.0512,0.0,0.11900000000000001,0.7190000000000001,124.988
102,24,Yes,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,87,0.703,0.757,1,-3.612,1,0.05,0.617,0.0,0.106,0.696,82.008
103,53,No,Supastars,Migos,79,0.7809999999999999,0.6759999999999999,1,-4.387,1,0.0596,0.25,0.0,0.0783,0.32799999999999996,75.944
104,64,No,White Sand,"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",80,0.833,0.58,5,-7.57,0,0.0824,0.0317,0.0,0.272,0.419,142.10399999999998
105,73,No,Gang Gang,Migos,92,0.9359999999999999,0.523,5,-6.71,1,0.0597,0.239,0.0,0.11699999999999999,0.6990000000000001,119.889
106,83,No,Higher We Go (Intro),Migos,78,0.815,0.551,8,-4.048,1,0.0936,0.0737,0.0,0.21600000000000003,0.168,152.001
107,85,No,Auto Pilot,Migos,77,0.924,0.716,11,-5.801,1,0.165,0.0716,0.0,0.201,0.254,129.987
108,87,No,Emoji A Chain,Migos,78,0.8909999999999999,0.33299999999999996,1,-8.316,1,0.175,0.0348,0.0,0.126,0.381,139.965
109,56,No,Round Here Buzz,Eric Church,73,0.639,0.42700000000000005,2,-9.013,1,0.0336,0.0446,2.3199999999999998e-05,0.107,0.457,76.08
110,46,Yes,Rubbin Off The Paint,YBN Nahmir,86,0.721,0.71,7,-9.294,1,0.295,0.000655,0.0,0.359,0.509,108.024
111,96,No,CC,Migos Featuring Gucci Mane,77,0.85,0.723,9,-6.622000000000001,0,0.205,0.23,0.0,0.0876,0.8170000000000001,134.011
112,81,No,Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",82,0.6990000000000001,0.7,11,-5.704,1,0.0392,0.0109,0.0794,0.152,0.3,102.023
113,28,Yes,MIC Drop,BTS Featuring Desiigner,88,0.613,0.8420000000000001,10,-4.332,0,0.21899999999999997,0.0157,0.0,0.23,0.645,169.917
114,9,Yes,What Lovers Do,Maroon 5 Featuring SZA,87,0.792,0.612,5,-5.212000000000001,0,0.0693,0.0805,3.83e-06,0.0852,0.42,109.959
115,3,Yes,Mi Gente,J Balvin & Willy William Featuring Beyonce,85,0.535,0.6779999999999999,11,-4.906000000000001,0,0.0998,0.0164,1.31e-05,0.128,0.287,102.681
116,12,Yes,Bank Account,21 Savage,92,0.884,0.34600000000000003,8,-8.228,0,0.35100000000000003,0.0151,7.04e-06,0.0871,0.376,75.016
117,5,Yes,Attention,Charlie Puth,92,0.774,0.626,3,-4.4319999999999995,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041
118,3,Yes,Unforgettable,French Montana Featuring Swae Lee,92,0.726,0.769,6,-5.043,1,0.12300000000000001,0.0293,0.0101,0.10400000000000001,0.733,97.985
119,46,Yes,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",81,0.82,0.696,7,-4.918,0,0.182,0.11900000000000001,0.0,0.231,0.617,144.981
120,45,Yes,Greatest Love Story,LANCO,79,0.6709999999999999,0.617,10,-8.72,1,0.0561,0.401,0.0,0.11900000000000001,0.62,147.986
121,82,No,No Name,NF,74,0.726,0.789,2,-4.0969999999999995,1,0.134,0.218,0.0,0.237,0.268,130.947
122,50,No,Kooda,6ix9ine,81,0.888,0.65,1,-4.497,1,0.33399999999999996,0.157,0.0,0.225,0.17300000000000001,91.22200000000001
123,74,No,Ice Tray,Quavo & Lil Yachty,83,0.889,0.494,8,-5.577999999999999,0,0.139,0.0247,0.0,0.12,0.24,129.968
124,88,No,The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",89,0.41700000000000004,0.8240000000000001,11,-7.36,0,0.105,0.000239,0.0545,0.0725,0.4,157.92
125,88,No,Never Enough,Loren Allred,89,0.27699999999999997,0.39399999999999996,8,-8.902999999999999,1,0.0336,0.423,0.0,0.0952,0.22699999999999998,86.777
126,71,No,My Dawg,Lil Baby,76,0.9109999999999999,0.643,1,-7.4079999999999995,1,0.11699999999999999,0.0253,0.0,0.10300000000000001,0.605,133.029
127,56,No,I'll Name The Dogs,Blake Shelton,76,0.47,0.852,4,-5.874,1,0.0933,0.163,2.04e-06,0.281,0.773,168.063
128,69,No,Female,Keith Urban,76,0.562,0.474,8,-8.762,0,0.0351,0.182,9.8e-05,0.114,0.345,84.999
129,29,Yes,The Weekend,SZA,87,0.775,0.573,11,-4.933,1,0.0585,0.495,0.0,0.126,0.667,101.925
130,30,Yes,Silence,Marshmello Featuring Khalid,96,0.52,0.7609999999999999,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.28600000000000003,141.971
131,80,No,My My My!,Troye Sivan,83,0.6970000000000001,0.47200000000000003,1,-7.849,1,0.0779,0.0043,9.67e-05,0.044000000000000004,0.49,102.98299999999999
132,84,No,Tequila,Dan + Shay,79,0.474,0.594,11,-5.756,1,0.0289,0.0292,0.0,0.133,0.503,86.131
133,75,No,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",77,0.743,0.6709999999999999,9,-5.2410000000000005,1,0.122,0.0512,0.0,0.11599999999999999,0.499,163.22899999999998
134,4,Yes,...Ready For It?,Taylor Swift,80,0.616,0.7759999999999999,2,-6.519,1,0.127,0.0609,0.0,0.155,0.45899999999999996,160.053
135,98,No,El Bano,Enrique Iglesias Featuring Bad Bunny,92,0.7190000000000001,0.8420000000000001,6,-3.562,0,0.0383,0.132,0.0,0.105,0.534,90.01700000000001
136,1,Yes,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,83,0.63,0.815,2,-4.265,1,0.152,0.222,0.0,0.091,0.813,88.35700000000001
137,1,Yes,That's What I Like,Bruno Mars,90,0.853,0.56,1,-4.961,1,0.0406,0.013000000000000001,0.0,0.0944,0.86,134.066
138,56,No,I Could Use A Love Song,Maren Morris,77,0.638,0.634,6,-6.474,1,0.0468,0.214,0.0,0.0866,0.473,92.09700000000001
139,82,No,For You (Fifty Shades Freed),Liam Payne & Rita Ora,62,0.524,0.797,2,-4.614,0,0.0335,0.0202,0.0,0.165,0.187,112.936
140,92,No,I Miss You,Clean Bandit Featuring Julia Michaels,95,0.638,0.6579999999999999,3,-6.318,1,0.0456,0.245,3.77e-06,0.0919,0.33,105.07600000000001
141,66,No,Too Much To Ask,Niall Horan,76,0.509,0.5379999999999999,0,-6.456,1,0.0397,0.381,0.0,0.13,0.17800000000000002,153.711
142,90,No,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",79,0.49,0.794,11,-3.8110000000000004,1,0.0738,0.377,0.0,0.0921,0.625,160.031
143,90,No,Juice,Yo Gotti,75,0.887,0.568,2,-5.853,1,0.32299999999999995,0.0017100000000000001,1.11e-05,0.0812,0.754,162.03799999999998
144,13,Yes,What About Us,P!nk,83,0.489,0.588,1,-6.1770000000000005,1,0.0507,0.0285,2.11e-06,0.0906,0.187,113.617
145,1,Yes,Look What You Made Me Do,Taylor Swift,82,0.769,0.7090000000000001,9,-6.432,0,0.139,0.18899999999999997,1.7199999999999998e-05,0.133,0.514,128.063
146,57,No,Light It Up,Luke Bryan,76,0.602,0.929,6,-2.741,0,0.0839,0.11800000000000001,0.0,0.10300000000000001,0.677,130.024
147,44,Yes,Dusk Till Dawn,Zayn Featuring Sia,94,0.258,0.43700000000000006,11,-6.593,0,0.039,0.10099999999999999,1.27e-06,0.106,0.0967,180.043
148,86,No,When We,Tank,75,0.635,0.324,6,-9.51,0,0.0769,0.165,4.18e-06,0.10800000000000001,0.0741,117.863
149,64,No,Wanted You,NAV Featuring Lil Uzi Vert,86,0.7929999999999999,0.718,9,-4.966,0,0.0547,0.168,0.0,0.24100000000000002,0.649,146.885
150,41,Yes,F**k Love,XXXTentacion Featuring Trippie Redd,89,0.797,0.5329999999999999,0,-9.74,0,0.0412,0.0172,0.000152,0.10300000000000001,0.32899999999999996,131.036
151,9,Yes,All I Want For Christmas Is You,Mariah Carey,81,0.335,0.625,7,-7.462000000000001,1,0.0386,0.16399999999999998,0.0,0.0708,0.34600000000000003,150.27700000000002
152,27,Yes,Rockin' Around The Christmas Tree,Brenda Lee,66,0.6759999999999999,0.56,8,-6.281000000000001,1,0.0611,0.652,0.0,0.462,0.828,141.285
153,32,Yes,It's The Most Wonderful Time Of The Year,Andy Williams,67,0.24,0.598,7,-8.435,1,0.037000000000000005,0.7659999999999999,0.0,0.11699999999999999,0.7759999999999999,202.082
154,37,Yes,The Christmas Song (Merry Christmas To You),Nat King Cole,63,0.359,0.15,1,-15.745,1,0.040999999999999995,0.8440000000000001,1.15e-06,0.10800000000000001,0.204,139.208
155,38,Yes,A Holly Jolly Christmas,Burl Ives,64,0.665,0.363,0,-12.982999999999999,1,0.0318,0.644,0.0,0.15,0.8240000000000001,140.296
156,44,Yes,The Race,Tay-K,81,0.7659999999999999,0.606,9,-6.064,1,0.456,0.00266,0.0,0.166,0.35200000000000004,160.22299999999998
157,65,No,Eye 2 Eye,Huncho Jack Featuring Takeoff,77,0.8109999999999999,0.65,2,-4.41,1,0.128,0.00125,0.0,0.102,0.179,146.028
158,68,No,Modern Slavery,Huncho Jack,79,0.737,0.737,4,-3.72,0,0.23800000000000002,0.00158,0.0,0.28,0.5,134.066
159,69,No,Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,75,0.43700000000000006,0.687,0,-5.5,1,0.0863,0.11599999999999999,0.000297,0.396,0.299,168.127
160,71,No,Black & Chinese,Huncho Jack,78,0.6629999999999999,0.8420000000000001,1,-4.152,1,0.10099999999999999,0.00277,0.000974,0.12300000000000001,0.34600000000000003,159.132
161,83,No,Dubai Shit,Huncho Jack Featuring Offset,81,0.767,0.529,5,-4.421,0,0.0495,0.0595,0.0,0.08900000000000001,0.247,138.076
162,87,No,Huncho Jack,Huncho Jack,82,0.857,0.642,0,-3.656,1,0.0588,0.00823,0.0,0.106,0.0658,150.06
163,90,No,Motorcycle Patches,Huncho Jack,76,0.87,0.6559999999999999,8,-5.081,1,0.11699999999999999,0.0158,0.0,0.106,0.41600000000000004,162.835
164,92,No,Saint,Huncho Jack,82,0.857,0.642,0,-3.656,1,0.0588,0.00823,0.0,0.106,0.0658,150.06
165,14,Yes,Walk On Water,Eminem Featuring Beyonce,71,0.49200000000000005,0.7609999999999999,8,-7.041,1,0.0363,0.00011899999999999999,0.0,0.0934,0.395,139.98
166,41,Yes,Last Christmas,Wham!,70,0.735,0.478,2,-12.472000000000001,1,0.0293,0.18899999999999997,2.48e-06,0.355,0.9470000000000001,107.682
167,44,Yes,Feliz Navidad,Jose Feliciano,64,0.512,0.831,2,-9.004,1,0.0383,0.552,0.0,0.336,0.963,148.82
168,29,Yes,Jingle Bell Rock,Bobby Helms,64,0.6609999999999999,0.402,2,-11.954,1,0.0299,0.6759999999999999,0.0,0.0556,0.8220000000000001,119.585
169,67,No,Tennessee Rain,Addison Agen,50,0.54,0.23199999999999998,9,-6.952999999999999,1,0.0328,0.909,0.0,0.105,0.259,138.17600000000002
170,69,No,Wish I Didn't Love You,Chloe Kohanski,44,0.46799999999999997,0.34299999999999997,10,-5.57,1,0.0355,0.835,0.0,0.11699999999999999,0.326,129.586
171,84,No,I Pray,Red Marlow,62,0.382,0.7809999999999999,2,-4.243,1,0.0433,0.054000000000000006,0.0,0.23,0.354,163.815
172,92,No,Believe,Eminem,75,0.884,0.483,1,-5.629,0,0.175,0.168,0.0,0.34299999999999997,0.105,130.086
173,72,No,Dark Knight Dummo,Trippie Redd Featuring Travis Scott,82,0.379,0.8240000000000001,8,-2.8810000000000002,0,0.0975,0.15,0.0,0.138,0.226,121.056
